Institution Name,City,State,Fall 2013 Enrollment
South University–Savannah Online,Savannah,GA,11143
Tennessee Technological University,Cookeville,TN,11118
Savannah College of Art and Design,Savannah,GA,11093
Buffalo State SUNY,Buffalo,NY,11091
University of Rochester,Rochester,NY,11020
Louisiana Tech University,Ruston,LA,11015
Lane Community College,Eugene,OR,11002
Park University,Parkville,MO,10978
Murray State University,Murray,KY,10943
Southern Methodist University,Dallas,TX,10929
Hofstra University,Hempstead,NY,10928
Northcentral University,Prescott Valley,AZ,10928
University of Wisconsin-Eau Claire,Eau Claire,WI,10923
Texas A & M University-Corpus Christi,Corpus Christi,TX,10913
Tufts University,Medford,MA,10872
University of Dayton,Dayton,OH,10835
Northeastern Illinois University,Chicago,IL,10821
Southern Connecticut State University,New Haven,CT,10804
Azusa Pacific University,Azusa,CA,10755
Florida Agricultural and Mechanical University,Tallahassee,FL,10743
Villanova University,Villanova,PA,10696
Northampton County Area Community College,Bethlehem,PA,10666
LIU Post,Brookville,NY,10599
North Carolina A & T State University,Greensboro,NC,10561
University of Wisconsin-La Crosse,La Crosse,WI,10520
Arizona State University-Downtown Phoenix,Phoenix,AZ,10400
Austin Peay State University,Clarksville,TN,10399
Johnson & Wales University-Providence,Providence,RI,10369
North Central Texas College,Gainesville,TX,10335
Case Western Reserve University,Cleveland,OH,10325
The New School,New York,NY,10301
Howard University,Washington,DC,10297
Arizona State University-Skysong,Scottsdale,AZ,10268
Navarro College,Corsicana,TX,10256
Saginaw Valley State University,University Center,MI,10240
University of South Dakota,Vermillion,SD,10235
Dutchess Community College,Poughkeepsie,NY,10232
University of St Thomas,Saint Paul,MN,10192
Columbia College-Chicago,Chicago,IL,10142
New Jersey Institute of Technology,Newark,NJ,10130
Bloomsburg University of Pennsylvania,Bloomsburg,PA,10127
University of San Francisco,San Francisco,CA,10112
Western Carolina University,Cullowhee,NC,10107
Mississippi Gulf Coast Community College,Perkinston,MS,10106
University of Phoenix-Southern California Campus,Costa Mesa,CA,9954
Radford University,Radford,VA,9928
Texas Christian University,Fort Worth,TX,9925
Duquesne University,Pittsburgh,PA,9904
Seton Hall University,South Orange,NJ,9903
University of Southern Indiana,Evansville,IN,9902
Inter American University of Puerto Rico-Metro,San Juan,PR,9853
Bellevue University,Bellevue,NE,9788
Eastern Illinois University,Charleston,IL,9775
Fashion Institute of Technology,New York,NY,9755
Southeast Community College Area,Lincoln,NE,9751
Regis University,Denver,CO,9722
Georgia Gwinnett College,Lawrenceville,GA,9719
Colorado Mesa University,Grand Junction,CO,9676
Loyola Marymount University,Los Angeles,CA,9661
University of Wisconsin-Stevens Point,Stevens Point,WI,9661
Pennsylvania State University-World Campus,University Park,PA,9631
Davenport University,Grand Rapids,MI,9591
South Plains College,Levelland,TX,9559
Kutztown University of Pennsylvania,Kutztown,PA,9513
Coastal Carolina University,Conway,SC,9478
Purdue University-Calumet Campus,Hammond,IN,9422
University of New Orleans,New Orleans,LA,9323
University of Wisconsin-Stout,Menomonie,WI,9313
Salem State University,Salem,MA,9301
University of Alaska Fairbanks,Fairbanks,AK,9166
DeVry University-California,Pomona,CA,9156
Butler Community College,El Dorado,KS,9142
Jackson State University,Jackson,MS,9134
Sonoma State University,Rohnert Park,CA,9120
Edmonds Community College,Lynnwood,WA,9070
University of Massachusetts-Dartmouth,North Dartmouth,MA,9053
Barry University,Miami,FL,9030
Saint Joseph's University,Philadelphia,PA,8954
Northwestern State University of Louisiana,Natchitoches,LA,8944
Brown University,Providence,RI,8943
University of Southern Maine,Portland,ME,8923
Northern Michigan University,Marquette,MI,8918
California State University-Stanislaus,Turlock,CA,8917
Tennessee State University,Nashville,TN,8883
Quinnipiac University,Hamden,CT,8803
University of La Verne,La Verne,CA,8796
Winona State University,Winona,MN,8782
Santa Clara University,Santa Clara,CA,8770
University of Michigan-Dearborn,Dearborn,MI,8748
University of Wisconsin-Platteville,Platteville,WI,8712
Texas Southern University,Houston,TX,8703
Rhode Island College,Providence,RI,8700
Jacksonville State University,Jacksonville,AL,8693
University of the Incarnate Word,San Antonio,TX,8685
Suffolk University,Boston,MA,8675
University of Louisiana at Monroe,Monroe,LA,8645
Salisbury University,Salisbury,MD,8643
University of Michigan-Flint,Flint,MI,8555
Northeastern State University,Tahlequah,OK,8548
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,8546
Metropolitan State University,Saint Paul,MN,8510
LIU Brooklyn,Brooklyn,NY,8483
Shasta College,Redding,CA,8479
Northeastern University Global Network,Boston,MA,8479
Georgia Regents University,Augusta,GA,8468
The Richard Stockton College of New Jersey,Galloway,NJ,8458
New Jersey City University,Jersey City,NJ,8442
West Texas A & M University,Canyon,TX,8377
College of William and Mary,Williamsburg,VA,8376
California State University-Bakersfield,Bakersfield,CA,8371
Mercer University,Macon,GA,8351
